condition,image_id,G_actual,G_neutral,Delta_G,cosine_sim
A,6336,5.398347184382146e-06,2.3731403416604735e-05,-1.833305623222259e-05,0.9982742071151733
A,6203,0.00019791808153968304,4.940898179484066e-06,0.00019297718336019898,0.9992555379867554
A,6299,6.5334174905729014e-06,1.920957856782479e-06,4.612459633790422e-06,0.9594072103500366
A,6448,7.734011160209775e-05,0.0006592641584575176,-0.0005819240468554199,0.9981011152267456
A,6531,3.2165760330826743e-06,0.0001146470895037055,-0.00011143051347062283,0.9996997714042664
A,6561,8.812601492991234e-08,4.313475528761046e-06,-4.225349513831134e-06,0.9028076529502869
A,6497,3.241847298340872e-05,8.097560203168541e-05,-4.855712904827669e-05,0.9999970197677612
A,6974,0.00016330869402736425,3.993673453805968e-05,0.00012337195948930457,0.9998636245727539
A,6759,1.1026178071915638e-05,0.0004064455279149115,-0.00039541934984299587,0.9976671934127808
A,6796,7.200504478532821e-05,9.394839253218379e-06,6.261020553210983e-05,0.999699592590332
A,6729,0.00013966455298941582,0.0004325371119193733,-0.00029287255892995745,0.9994289875030518
A,7143,2.1178600945859216e-05,0.0003027039929293096,-0.0002815253919834504,0.9947457313537598
A,7292,2.6418860215926543e-05,0.00046833514352329075,-0.0004419162833073642,0.9949434995651245
A,7210,0.00041670407517813146,2.058857171505224e-05,0.0003961155034630792,0.9940842986106873
A,7238,2.9175399163250404e-07,4.485975296120159e-06,-4.194221304487655e-06,0.6299595832824707
A,7621,1.7696071381578804e-06,7.062474469421431e-05,-6.885513755605643e-05,0.5880791544914246
A,7552,2.3900499854789814e-06,2.3894494006526656e-05,-2.1504444021047675e-05,0.9798361659049988
A,7625,3.3534111025801394e-06,0.0001944921095855534,-0.00019113869848297327,0.9848257899284363
A,7578,2.4607748855487444e-05,3.292782594144228e-06,2.1314966261343216e-05,0.9903151988983154
A,7663,1.1311487924103858e-07,6.622266113254227e-08,4.689221810849631e-08,1.0
A,7721,8.243241609307006e-06,0.00015481376613024622,-0.00014657052452093922,0.9934878349304199
A,7690,2.576406927801145e-07,9.584771305526374e-07,-7.008364377725229e-07,0.9999998807907104
A,7708,6.425833362300182e-06,0.00014819580246694386,-0.00014176996910464368,0.9999345541000366
A,7908,3.089051688220934e-06,5.180781954550184e-05,-4.871876785728091e-05,0.9995630383491516
A,8174,2.386375115293049e-07,1.9136561604682356e-05,-1.889792409315305e-05,0.6985297203063965
A,7862,7.859800462028943e-06,1.8777656123347697e-06,5.982034849694173e-06,0.973888099193573
A,7935,0.0004902540240436792,1.602302859282645e-07,0.000490093793757751,0.6745431423187256
A,8321,4.0503041418560315e-06,0.00028203570400364697,-0.00027798539986179094,0.9997262358665466
A,8369,4.1971372411353514e-05,0.0003756475052796304,-0.0003336761328682769,0.9980977773666382
A,8364,1.3919723642175086e-05,0.0002017098740907386,-0.0001877901504485635,0.997939944267273
A,8351,6.426967047445942e-07,5.036722359363921e-05,-4.9724526888894616e-05,0.7553873658180237
A,8531,3.4806223993655294e-05,1.7910970200318843e-05,1.689525379333645e-05,0.9991198778152466
A,8404,6.138564458524343e-06,3.687598291435279e-05,-3.073741845582845e-05,0.9907671213150024
A,8413,2.2273798094829544e-07,4.8999240789271425e-06,-4.677186097978847e-06,0.6824864149093628
A,8418,6.498427410406293e-06,4.637680376617936e-06,1.860747033788357e-06,0.9976787567138672
A,8576,5.91123921367398e-07,1.1909249224117957e-05,-1.1318125302750559e-05,0.4717511534690857
A,8582,3.4152155876654433e-06,0.00028370157815515995,-0.0002802863625674945,0.9998680353164673
A,8561,0.00012679086648859084,0.00020837230840697885,-8.158144191838801e-05,0.9999820590019226
A,8578,3.0292828796518734e-06,1.4514577742374968e-05,-1.1485294862723094e-05,0.9982125759124756
A,8786,5.644875272992067e-06,8.089550101431087e-05,-7.52506257413188e-05,0.9981380105018616
A,8640,3.360782557138009e-06,6.180351920193061e-05,-5.84427366447926e-05,0.9998191595077515
A,8652,2.1377518351073377e-05,0.00011113703658338636,-8.975951823231298e-05,0.9958177804946899
A,8799,5.123209848534316e-05,2.8997375920880586e-05,2.2234722564462572e-05,0.9999994039535522
A,9093,0.00026660022558644414,0.0011579892598092556,-0.0008913890342228115,0.9992275834083557
A,9104,2.6024110866273986e-06,2.7638152459985577e-06,-1.6140415937115904e-07,0.9984981417655945
A,8964,6.452871457440779e-05,0.00029743334744125605,-0.00023290463286684826,0.9993340373039246
A,9189,3.236329212086275e-05,0.00034832741948775947,-0.0003159641273668967,0.996788740158081
A,9324,0.00028035210561938584,0.00018681965593714267,9.353244968224317e-05,0.9999827146530151
A,9315,7.828911293472629e-06,1.0706644388847053e-05,-2.877733095374424e-06,0.9987825751304626
A,9340,1.2473198296447663e-07,1.5267238495653146e-06,-1.401991866600838e-06,1.0000001192092896
A,9317,0.00011715282016666606,2.8310681955190375e-05,8.884213821147569e-05,0.998807966709137
A,9369,6.91578388796188e-05,6.761791610188084e-06,6.239604726943071e-05,0.9941469430923462
A,9413,7.016013114480302e-05,3.113242928520776e-05,3.9027701859595254e-05,0.9997559785842896
A,9393,5.498097834788496e-07,6.050386218703352e-06,-5.500576435224502e-06,0.8015555143356323
