condition,epoch,image_id,true_label,assigned_label,raw_norm,q_actual,q_neutral,G_actual,G_neutral,Delta_G,p_assigned_actual,p_assigned_neutral,loss_actual,loss_neutral,target_logit_actual,target_logit_neutral,cosine_sim
A,40,817,3,3,19.65911293029785,-0.2830103039741516,0.0,6.610547188756755e-06,9.395997767569497e-05,-8.734943048693822e-05,0.9999997615814209,0.9999958276748657,2.3841855067985307e-07,4.172316494077677e-06,28.31770133972168,25.72065544128418,0.9979340434074402
A,40,753,3,3,20.230371475219727,-0.19277815520763397,0.0,5.615804354874854e-08,5.009524102206342e-07,-4.4479436667188565e-07,1.0,1.0,-0.0,-0.0,31.087196350097656,28.898855209350586,1.0
A,40,805,3,3,20.696447372436523,-0.11915996670722961,0.0,2.994864303218492e-07,1.1015981726814061e-06,-8.02111742359557e-07,1.0,1.0,-0.0,-0.0,29.008974075317383,27.706525802612305,1.0
A,40,909,4,4,20.216217041015625,-0.1950138956308365,0.0,3.7313890061341226e-05,0.00018902122974395752,-0.0001517073396826163,0.9999982118606567,0.9999905824661255,1.7881377516459906e-06,9.417489309271332e-06,26.065385818481445,24.34356117248535,0.9974667429924011
A,40,928,4,4,19.891292572021484,-0.24633675813674927,0.0,1.8990310479694017e-07,4.144402737438213e-06,-3.954499632641273e-06,1.0,0.9999997615814209,-0.0,2.3841855067985307e-07,30.0741024017334,27.535097122192383,0.580424964427948
A,40,910,4,4,20.641719818115234,-0.12780435383319855,0.0,6.512814252346288e-06,2.3601856810273603e-05,-1.7089042557927314e-05,0.9999997615814209,0.9999991655349731,2.3841855067985307e-07,8.344646857949556e-07,27.793437957763672,26.489782333374023,0.9997286796569824
A,40,975,4,4,21.57069206237793,0.018929816782474518,0.0,2.1532413541081041e-07,1.7058120249657804e-07,4.474293291423237e-08,1.0,1.0,-0.0,-0.0,28.733617782592773,28.966550827026367,1.0
A,40,1012,5,5,22.91365623474121,0.2310553640127182,0.0,5.6848097301553935e-05,3.170480567860068e-06,5.367761673369387e-05,0.9999967813491821,0.9999998807907104,3.2186455882765586e-06,1.1920928244535389e-07,23.565662384033203,26.237836837768555,0.9719494581222534
A,40,1092,5,5,18.699539184570312,-0.4345780909061432,0.0,4.054784767504316e-06,0.0001593464839970693,-0.00015529169922956498,0.9999998807907104,0.999992847442627,1.1920928244535389e-07,7.152531907195225e-06,28.060504913330078,24.565073013305664,0.9794379472732544
A,40,1237,5,5,19.161855697631836,-0.3615536689758301,0.0,6.551221304107457e-05,0.0007486045942641795,-0.0006830923812231049,0.9999971389770508,0.999963641166687,2.861018856492592e-06,3.635817120084539e-05,24.135753631591797,21.60158348083496,0.9984092116355896
A,40,1188,5,5,20.968460083007812,-0.07619467377662659,0.0,1.922663432196714e-05,4.0591716242488474e-05,-2.1365081920521334e-05,0.9999991655349731,0.9999980926513672,8.344646857949556e-07,1.9073468138230965e-06,26.020872116088867,25.277090072631836,0.9999957084655762
A,40,1358,6,6,18.10965919494629,-0.5277515649795532,0.0,2.2457921659224667e-05,0.0015442926669493318,-0.001521834745290107,0.9999992847442627,0.9999440908432007,7.152555099310121e-07,5.590759246842936e-05,29.709129333496094,25.426000595092773,0.9974222183227539
A,40,1304,6,6,19.183433532714844,-0.3581453859806061,0.0,1.2467532428672712e-07,6.413453320419649e-06,-6.2887779961329215e-06,1.0,0.9999996423721313,-0.0,3.576278118089249e-07,30.150972366333008,26.770963668823242,0.57096266746521
A,40,1353,6,6,19.0932559967041,-0.3723892569541931,0.0,3.127462832708261e-06,6.077601938159205e-05,-5.764855654888379e-05,0.9999998807907104,0.9999970197677612,1.1920928244535389e-07,2.9802276912960224e-06,26.090822219848633,23.237031936645508,0.9955061674118042
A,40,1284,6,6,21.7714900970459,0.05064651742577553,0.0,0.00021958761499263346,0.00012893130769953132,9.065630729310215e-05,0.999991774559021,0.999995231628418,8.22540732769994e-06,4.768360213347478e-06,25.432119369506836,25.971513748168945,0.9999467134475708
A,40,1413,7,7,23.19038963317871,0.27476629614830017,0.0,2.76325208687922e-05,4.907642505713739e-07,2.7141756618220825e-05,0.9999984502792358,1.0,1.5497195136049413e-06,-0.0,25.785511016845703,29.60016441345215,0.8056276440620422
A,40,1446,7,7,23.976116180419922,0.3988743722438812,0.0,0.00014226947678253055,4.934904040965193e-07,0.00014177598637843403,0.9999911785125732,1.0,8.821448318485636e-06,-0.0,22.845252990722656,28.244077682495117,0.7670839428901672
A,40,1489,7,7,20.67243003845215,-0.12295357882976532,0.0,1.3120494259055704e-05,4.5046574086882174e-05,-3.192607982782647e-05,0.9999995231628418,0.9999983310699463,4.768370445162873e-07,1.6689286894688848e-06,27.463977813720703,26.225149154663086,0.999972939491272
A,40,1439,7,7,20.69535255432129,-0.11933289468288422,0.0,0.00011518060637172312,0.0003541572077665478,-0.00023897660139482468,0.9999954700469971,0.9999856948852539,4.529942543740617e-06,1.4305012882687151e-05,26.507823944091797,25.35846519470215,0.999512791633606
A,40,1552,8,8,20.858884811401367,-0.09350244700908661,0.0,4.4305852497927845e-06,1.4982239918026607e-05,-1.0551654668233823e-05,0.9999998807907104,0.9999994039535522,1.1920928244535389e-07,5.960462772236497e-07,29.515640258789062,28.4417781829834,0.9699335694313049
A,40,1598,8,8,19.249858856201172,-0.34765326976776123,0.0,1.7027643480105326e-05,0.000261138950008899,-0.00024411130652879365,0.9999992847442627,0.9999877214431763,7.152555099310121e-07,1.2278481335670222e-05,26.607860565185547,23.821523666381836,0.9990289211273193
A,40,1603,8,8,22.461835861206055,0.15968886017799377,0.0,2.4366325305891223e-05,3.5398563795752125e-06,2.082646892631601e-05,0.9999988079071045,0.9999998807907104,1.1920922133867862e-06,1.1920928244535389e-07,24.143964767456055,25.912744522094727,0.9779388904571533
A,40,1658,8,8,21.03864097595215,-0.06510937958955765,0.0,3.0263705411925912e-05,5.5552900448674336e-05,-2.5289195036748424e-05,0.9999984502792358,0.9999970197677612,1.5497195136049413e-06,2.9802276912960224e-06,25.403945922851562,24.7819881439209,0.9999560117721558
