image_id,epoch,cg_A,cg_B,cg_C,cg_D,CG_C_minus_D,CG_A_minus_B,cumulative_interaction
10242,40,616.6022082386771,843.2820673622191,772.4034384787083,1000.3015127778053,-227.89807429909706,-226.67985912354197,-1.2182151755550876
10244,10,423.6655464172363,443.92477798461914,416.38643646240234,420.87654876708984,-4.4901123046875,-20.259231567382812,15.769119262695312
10244,20,616.3758658021688,738.3692874908447,746.1844806671143,753.866289138794,-7.6818084716796875,-121.99342168867588,114.3116132169962
10244,30,622.2019947991939,778.0267143975943,867.0675233006477,1047.9570541381836,-180.88953083753586,-155.8247195984004,-25.06481123913545
10244,40,630.589801090071,780.8725646031089,967.427193582058,1327.2765140533447,-359.8493204712868,-150.28276351303793,-209.56655695824884
1025,10,455.9879951477051,448.27821350097656,450.0710849761963,448.11456298828125,1.956521987915039,7.709781646728516,-5.753259658813477
1025,20,714.6110058575869,773.9432468414307,756.4606819152832,766.2956218719482,-9.834939956665039,-59.3322409838438,49.497301027178764
1025,30,724.1668677981943,1026.2188482284546,891.1508142948151,1052.0657024383545,-160.91488814353943,-302.0519804302603,141.13709228672087
1025,40,725.7853626739234,1172.710147857666,939.6478676348925,1318.661642074585,-379.0137744396925,-446.92478518374264,67.91101074405015
10258,10,409.09320640563965,415.0452632904053,391.36682510375977,400.0014934539795,-8.634668350219727,-5.952056884765625,-2.6826114654541016
10258,20,531.1070957481861,619.2256960868835,668.541015625,692.2205142974854,-23.67949867248535,-88.11860033869743,64.43910166621208
10258,30,531.2552888717037,646.7935636956245,675.2283226903528,741.9116979837418,-66.68337529338896,-115.5382748239208,48.85489953053184
10258,40,535.412204523338,666.2530575525016,678.7864774917252,789.0622368715703,-110.27575937984511,-130.84085302916355,20.56509364931844
10259,10,415.2475700378418,414.6791458129883,409.7841491699219,391.8836364746094,17.9005126953125,0.5684242248535156,17.332088470458984
10259,20,570.192326977849,692.3555774688721,640.3944511413574,675.8787288665771,-35.48427772521973,-122.16325049102306,86.67897276580334
10259,30,572.1333501142217,740.2178749926388,672.4728570394218,813.2738943099976,-140.80103727057576,-168.08452487841714,27.28348760784138
10259,40,573.1153250818024,758.7864570394158,676.932936437428,920.1146087646484,-243.18167232722044,-185.6711319576134,-57.51054036960704
10265,10,439.13899993896484,449.1554431915283,441.2861919403076,433.18811416625977,8.098077774047852,-10.016443252563477,18.114521026611328
10265,20,673.0571300983429,764.6735343933105,736.5428447723389,744.5275192260742,-7.984674453735352,-91.61640429496765,83.6317298412323
10265,30,679.0261454016436,845.9628834724426,755.0173392803408,1027.75608253479,-272.7387432544492,-166.93673807079904,-105.80200518365018
10265,40,680.2724412570242,928.1063848137856,755.4514193092473,1245.8272666931152,-490.37584738386795,-247.83394355676137,-242.54190382710658
10274,10,427.56765365600586,439.6516990661621,394.1671142578125,415.097900390625,-20.9307861328125,-12.08404541015625,-8.84674072265625
10274,20,638.7322697639465,732.9999604225159,675.8117265701294,718.1523571014404,-42.340630531311035,-94.26769065856934,51.9270601272583
10274,30,642.660200284794,829.2939141690731,706.2517558932304,848.7316485643387,-142.47989267110825,-186.63371388427913,44.153821213170886
10274,40,655.8435097243637,911.0597712993622,709.8206613804214,971.3209779858589,-261.50031660543755,-255.2162615749985,-6.284055030439049
10276,10,400.63432121276855,413.2854061126709,412.10002517700195,391.59838104248047,20.501644134521484,-12.651084899902344,33.15272903442383
10276,20,573.6478567123413,625.543074786663,694.0266876220703,673.2001190185547,20.826568603515625,-51.89521807432175,72.72178667783737
10276,30,598.6407396383584,680.6290955543518,722.1673359870911,816.5018374919891,-94.33450150489807,-81.98835591599345,-12.34614558890462
10276,40,614.316891612485,726.7044405639172,735.6249250229448,919.474288225174,-183.84936320222914,-112.38754895143211,-71.46181425079703
10279,10,438.5579833984375,461.7904167175293,445.1933898925781,418.27056884765625,26.922821044921875,-23.232433319091797,50.15525436401367
10279,20,726.0243377685547,789.0580997467041,749.2221050262451,730.931562423706,18.290542602539062,-63.033761978149414,81.32430458068848
10279,30,727.4980627845507,1058.7809658050537,906.3572318553925,1003.2199249267578,-96.86269307136536,-331.282903020503,234.42020994913764
10279,40,728.5486956364475,1143.2234408855438,941.6893973648548,1267.0915546417236,-325.4021572768688,-414.6747452490963,89.27258797222748
10285,10,412.94244956970215,444.07299423217773,429.6493453979492,432.5242347717285,-2.874889373779297,-31.130544662475586,28.25565528869629
10285,20,581.0806151907891,755.9981155395508,725.3532047271729,731.3394680023193,-5.986263275146484,-174.91750034876168,168.9312370736152
10285,30,581.2508323668881,895.3632735013962,807.3786710500717,970.9221868515015,-163.54351580142975,-314.1124411345081,150.56892533307837
10285,40,581.2708184296789,942.5768556371331,852.3306964337826,1083.64568400383,-231.31498757004738,-361.3060372074542,129.99104963740683
1030,10,424.51575469970703,409.3312797546387,417.00744247436523,385.3508186340332,31.65662384033203,15.18447494506836,16.472148895263672
1030,20,681.3629174232483,717.1705093383789,697.1961612701416,689.1181087493896,8.078052520751953,-35.807591915130615,43.88564443588257
1030,30,690.0655977409333,789.5178509131074,795.7111194580793,937.6453685760498,-141.93424911797047,-99.4522531721741,-42.48199594579637
1030,40,693.1117437109351,850.3639049306512,850.8167244940996,1121.4127044677734,-270.5959799736738,-157.25216121971607,-113.34381875395775
10305,10,398.35588455200195,423.9967231750488,402.42320442199707,426.3677978515625,-23.94459342956543,-25.640838623046875,1.6962451934814453
10305,20,614.5833742022514,747.6057567596436,720.1954689025879,764.9809303283691,-44.78546142578125,-133.02238255739212,88.23692113161087
10305,30,641.7783736460842,947.761625289917,843.687198728323,1046.726806640625,-203.03960791230202,-305.9832516438328,102.94364373153076
10305,40,652.2733200080693,1017.2542945295572,906.2201078981161,1331.758222579956,-425.53811468183994,-364.98097452148795,-60.55714016035199
10316,10,446.3106231689453,425.2136116027832,460.01086807250977,421.1991672515869,38.81170082092285,21.09701156616211,17.714689254760742
