condition,epoch,raw_norm_mean,raw_norm_median,adaface_quality_mean,adaface_quality_median,p_assigned_mean,p_assigned_median,difficulty_mean,difficulty_median,per_sample_loss_mean,per_sample_loss_median,head_gradient_norm_mean,head_gradient_norm_median,p_true_mean,p_true_median
A,11,22.495548086511082,22.36734390258789,0.07121264927285577,0.0528958700597286,0.050845680209912154,2.673560402399744e-06,0.9491543197900879,0.9999973264395976,13.219097541293623,12.83209991455078,30.118263351633605,31.46619415283203,,
A,12,22.496683372129876,22.410541534423828,0.06657549000686001,0.0568852573633194,0.07336118097891335,1.4041652320884168e-05,0.9266388190210866,0.9999859583476792,11.757495189205777,11.17348289489746,28.68445477283324,30.401233673095703,,
A,13,22.505328279058617,22.46574592590332,0.06673273148061427,0.0612564608454704,0.09804530463116663,8.158090349752456e-05,0.9019546953688333,0.9999184190965024,10.124017017105585,9.413915634155272,27.254853596978112,29.54653549194336,,
A,14,22.516110565461307,22.391935348510746,0.08115729621007718,0.0664598196744918,0.1268785003453497,0.0005480944528244,0.8731214996546502,0.9994519055471756,8.585798389145063,7.509062767028809,25.82439453533615,28.53556060791016,,
A,15,22.521044942097493,22.435415267944336,0.07470050456168738,0.0655485466122627,0.17005705334826393,0.002898511942476,0.8299429466517361,0.997101488057524,6.964534693448918,5.843557834625244,24.059218294588927,27.45548820495605,,
A,16,22.525134088447295,22.478368759155277,0.08076792986419232,0.0695523619651794,0.2430720615612324,0.0211302544921636,0.7569279384387675,0.9788697455078365,5.268539149672614,3.8570494651794434,21.529532423584374,25.62702178955078,,
A,17,22.530236937281597,22.492345809936523,0.09223579024191923,0.083403430879116,0.3385002788398532,0.1161114871501922,0.6614997211601468,0.8838885128498077,3.614318659958038,2.1532044410705566,18.431298868623507,22.764759063720703,,
A,18,22.539567604984146,22.53720474243164,0.0899803558131018,0.0900437757372856,0.4679157518578646,0.4258268177509308,0.5320842481421353,0.5741731822490692,2.1719812677386665,0.8537225127220154,14.555831546261478,14.50812816619873,,
A,19,22.54057906874691,22.52796173095703,0.10196416840400106,0.0982114300131797,0.6092446496602378,0.7657387256622314,0.3907553503397621,0.2342612743377685,1.1892047565635602,0.2669142484664917,10.588090123104172,5.962792873382568,,
A,20,22.539904909708415,22.460973739624023,0.10470782108409946,0.0980701595544815,0.7836378591471662,0.9540247321128844,0.2163621408528338,0.0459752678871154,0.5021259454575063,0.0470656603574752,5.722204418246596,1.1280163526535034,,
A,21,22.53385021669319,22.4600887298584,0.11790574416118473,0.113277792930603,0.9066412526028265,0.9911534190177916,0.09335874739717351,0.0088465809822082,0.16563356324840822,0.0088859600946307,2.366039980459698,0.2135708928108215,,
A,22,22.535758993769267,22.458925247192383,0.12169780506780833,0.1109378486871719,0.9370660064028329,0.995733678340912,0.06293399359716705,0.0042663216590881,0.09934785401652205,0.0042754672467708,1.5614382839624106,0.1019676849246025,,
A,23,22.535392838443617,22.447986602783203,0.1245103927712196,0.1117001548409462,0.9560920606506428,0.996381402015686,0.043907939349357224,0.0036185979843139,0.06495785539469584,0.0036251323763281,1.011286994585091,0.0855285301804542,,
A,24,22.536638978705348,22.45039939880371,0.12493258653291367,0.1108283922076225,0.9562853850617287,0.9967530369758606,0.04371461493827129,0.0032469630241394,0.0674788751177306,0.0032522189430892,1.039048922342056,0.075423963367939,,
A,25,22.53477010795869,22.45601463317871,0.1246164941813282,0.1145873367786407,0.9604635106736278,0.9972039461135864,0.03953648932637216,0.0027960538864135,0.053150404022771304,0.002799998037517,0.9326796696285853,0.0646236613392829,,
A,26,22.538188093713966,22.41537475585937,0.1265498856363621,0.1134514734148979,0.9685450384397822,0.997694194316864,0.03145496156021769,0.0023058056831359,0.04338290361922049,0.0023084438871592,0.7361727478739747,0.0544307045638561,,
A,27,22.53420783996582,22.52311515808105,0.12526807700818565,0.1239023059606552,0.9676004019936165,0.997761368751526,0.032399598006383444,0.0022386312484741,0.04420959598951658,0.0022411248646676,0.7497600884129558,0.0512139089405536,,
