epoch,band,count,mean_grad_C,mean_grad_D,median_grad_C,median_grad_D,mean_diff,median_diff
18,0.4-0.6,1,16.313758850097656,17.591245651245117,16.313758850097656,17.591245651245117,-1.277486801147461,-1.277486801147461
18,0.6-0.8,3,16.063060760498047,17.849866549173992,14.594914436340332,17.55034828186035,-1.7868057886759452,-1.2150497436523438
18,0.8-1.0,1845,28.327736853002534,29.21221678302217,28.406967163085938,29.16122055053711,-0.8844799300196371,-0.7339420318603516
19,0-0.2,10,1.688561636209488,1.14862371571362,0.8272990584373474,0.49008825421333313,0.5399379204958678,0.1621295269578695
19,0.2-0.4,2,5.99213433265686,6.793997526168823,5.99213433265686,6.793997526168823,-0.8018631935119629,-0.8018631935119629
19,0.4-0.6,1,11.566446304321287,13.921363830566406,11.566446304321287,13.921363830566406,-2.354917526245119,-2.354917526245119
19,0.6-0.8,1,18.805997848510746,20.302940368652344,18.805997848510746,20.302940368652344,-1.496942520141598,-1.496942520141598
19,0.8-1.0,1777,27.5985255598284,28.86758040737824,27.6236515045166,28.82562065124512,-1.269054847549842,-1.3004112243652344
20,0-0.2,12,1.574620481793924,2.2972847297787666,1.440300703048706,1.88449627161026,-0.7226642479848427,-0.4037342071533203
20,0.2-0.4,1,5.71890926361084,10.36337947845459,5.71890926361084,10.36337947845459,-4.64447021484375,-4.64447021484375
20,0.4-0.6,1,12.000691413879396,14.597981452941896,12.000691413879396,14.597981452941896,-2.5972900390625,-2.5972900390625
20,0.6-0.8,3,19.038051923116047,18.37200419108073,18.87980079650879,19.776121139526367,0.6660477320353184,2.379884719848633
20,0.8-1.0,1652,26.97521218376067,28.426462263518328,26.90506362915039,28.41775417327881,-1.4512500797576535,-1.2426929473876953
21,0-0.2,68,0.6889322680123288,1.576235725732712,0.1505364030599594,0.9390157759189606,-0.8873034577203832,-0.5365413753315806
21,0.2-0.4,5,6.663225269317627,5.704969596862793,5.988482475280762,5.33840799331665,0.9582556724548343,0.4667167663574219
21,0.4-0.6,4,9.860206961631775,10.247946739196777,8.825904369354248,10.209929466247559,-0.3877397775650018,-2.4717776775360103
21,0.6-0.8,6,17.5455420811971,17.460559368133545,17.128856658935547,17.988823890686035,0.08498271306355736,-0.12537002563476562
